rank,name,change_pct,leader,leader_change,sector_type,collected_at
1,文化传媒,4.52,中文在线,15.3,industry,2026-02-11 07:24:10
2,计算机,3.21,浪潮信息,10.0,industry,2026-02-11 07:24:10
3,通信设备,2.85,中兴通讯,8.5,industry,2026-02-11 07:24:10
4,半导体,2.43,中芯国际,7.2,industry,2026-02-11 07:24:10
5,医药商业,1.98,国药股份,6.8,industry,2026-02-11 07:24:10
6,电力,1.65,长江电力,5.5,industry,2026-02-11 07:24:10
7,银行,1.23,招商银行,4.2,industry,2026-02-11 07:24:10
8,汽车,0.87,比亚迪,3.5,industry,2026-02-11 07:24:10
9,房地产,0.54,万科A,2.8,industry,2026-02-11 07:24:10
10,煤炭,0.32,中国神华,1.9,industry,2026-02-11 07:24:10
